Transaction ID,Transaction Items
Trans1,"Basketball, Football"
Trans2,"Swim Goggles, Baseball Glove, Basketball, Fitness Tracker, Running Shoes, Tennis Racket, Water Bottle, Golf Balls, Football"
Trans3,"Water Bottle, Tennis Racket, Basketball, Swim Goggles"
Trans4,"Running Shoes, Yoga Mat, Tennis Racket, Football, Golf Balls, Baseball Glove, Basketball, Swim Goggles"
Trans5,"Running Shoes, Fitness Tracker, Swim Goggles, Yoga Mat, Tennis Racket, Baseball Glove, Golf Balls"
Trans6,"Fitness Tracker, Baseball Glove, Football, Tennis Racket"
Trans7,"Yoga Mat, Football, Tennis Racket, Running Shoes, Swim Goggles, Golf Balls"
Trans8,"Running Shoes, Golf Balls, Swim Goggles"
Trans9,"Basketball, Fitness Tracker"
Trans10,Basketball
Trans11,"Tennis Racket, Football, Golf Balls, Fitness Tracker"
Trans12,"Yoga Mat, Tennis Racket, Fitness Tracker, Running Shoes, Water Bottle, Baseball Glove, Swim Goggles, Golf Balls"
Trans13,"Fitness Tracker, Water Bottle, Football, Golf Balls, Swim Goggles, Running Shoes, Yoga Mat"
Trans14,"Baseball Glove, Golf Balls, Running Shoes, Swim Goggles, Water Bottle, Yoga Mat, Basketball"
Trans15,Football
Trans16,"Golf Balls, Fitness Tracker, Water Bottle"
Trans17,"Basketball, Swim Goggles, Golf Balls, Running Shoes, Tennis Racket, Baseball Glove"
Trans18,"Running Shoes, Football, Tennis Racket, Yoga Mat, Basketball, Water Bottle, Swim Goggles"
Trans19,"Football, Water Bottle, Swim Goggles, Baseball Glove, Basketball, Running Shoes"
Trans20,"Basketball, Tennis Racket, Yoga Mat, Baseball Glove, Football, Golf Balls, Running Shoes, Water Bottle, Fitness Tracker, Swim Goggles"
